id,name,address,roadAddress,displayCode,displayName,city_id,city_name,point_x,point_y,routeType_id,routeType_name,transfers,,,자치구_코드_명,면적(km²),지하철역_수,지하철역_밀도(개/km²)
70401,미남,부산광역시 동래구 온천동 1470,부산광역시 동래구 아시아드대로 232,401,미남역,7000,부산,129.0691677,35.2070982,74,4호선,70309,,,,,,
40135,동대구역,대구광역시 동구 신천동 329-5,대구광역시 동구 동대구로 530,135,동대구역,4000,대구,128.6274868,35.8774155,41,1호선,,,,,,,
50118,돌고개,광주광역시 서구 농성동 671-1,광주광역시 서구 경열로 87,108,돌고개역,5000,광주,126.8955334,35.1518665,51,1호선,,,,,,,
30111,시청,대전광역시 서구 둔산동 1408-1,대전광역시 서구 둔산중로 55,111,시청역,3000,대전,127.3867356,36.3516765,31,1호선,,,,,,,
113,망월사,경기도 의정부시 호원동 50-5,경기도 의정부시 평화로 221,112,망월사역,1000,서울,127.047364,37.7105024,1,1호선,,,,,,,
11002,회룡,경기도 의정부시 호원동 50-5,경기도 의정부시 평화로 363,U111,회룡역,1000,서울,127.0471083,37.7250156,110,의정부경전철,112,,,,,,
70122,시청,부산광역시 연제구 연산동 1328-9,부산광역시 연제구 중앙대로 1017,122,시청역,7000,부산,129.0766512,35.1798124,71,1호선,,,,,,,
70305,연산,부산광역시 연제구 연산동 1515-1,부산광역시 연제구 중앙대로 1101,305,연산역,7000,부산,129.081858,35.1858718,73,3호선,70123,,,,,,
70825,동래,부산광역시 동래구 낙민동 130-4,부산광역시 동래구 낙민로 27,K114,동래역,7000,부산,129.0912866,35.1972154,78,동해선,,,,,,,
70823,거제,부산광역시 연제구 거제동 419-2,부산광역시 연제구 법원남로9번길 14,K112,거제역,7000,부산,129.0743669,35.1896461,78,동해선,70306,,,,,,
70404,낙민,부산광역시 동래구 낙민동 205-4,부산광역시 동래구 충렬대로 285,404,낙민역,7000,부산,129.0909072,35.2001953,74,4호선,,,,,,,
70309,미남,부산광역시 동래구 온천동 1470,부산광역시 동래구 아시아드대로 232,309,미남역,7000,부산,129.0680191,35.2054332,73,3호선,70401,,,,,,
40134,신천,대구광역시 동구 신천동 741,대구광역시 동구 동부로 41,134,신천역,4000,대구,128.6175997,35.8746207,41,1호선,,,,,,,
